Region;Comuna;Codigo_comuna;Fec;Fecha;Clave;Casos_Diarios;Casos_Acumulados;Muertes;Casos_Activos;Recuperados;Recuperados_Diarios;Dia;Fallecidos_Diarios;on-off;Max_Dia
Nuble;Niquen;16303;1;43893;1630343893;0;0;0;0;0;0;0;0;OFF;32
Valparaiso;Nogales;5506;1;43893;550643893;0;0;0;0;0;0;0;0;OFF;0
La_Araucania;Nueva_Imperial;9111;1;43893;911143893;0;0;0;0;0;0;0;0;OFF;48
Metropolitana;NuNoa;13120;1;43893;1312043893;0;0;0;0;0;0;0;0;OFF;60
Aysen;O'Higgins;11302;1;43893;1130243893;0;0;0;0;0;0;0;0;OFF;0
O_Higgins;Olivar;6111;1;43893;611143893;0;0;0;0;0;0;0;0;OFF;39
Antofagasta;OllagUe;2202;1;43893;220243893;0;0;0;0;0;0;0;0;OFF;0
Valparaiso;Olmue;5803;1;43893;580343893;0;0;0;0;0;0;0;0;OFF;28
Los_Lagos;Osorno;10301;1;43893;1030143893;0;0;0;0;0;0;0;0;OFF;53
Coquimbo;Ovalle;4301;1;43893;430143893;0;0;0;0;0;0;0;0;OFF;47
Metropolitana;Padre_Hurtado;13604;1;43893;1360443893;0;0;0;0;0;0;0;0;OFF;48
La_Araucania;Padre_las_Casas;9112;1;43893;911243893;0;0;0;0;0;0;0;0;OFF;48
Coquimbo;Paiguano;4105;1;43893;410543893;0;0;0;0;0;0;0;0;OFF;0
Los_Rios;Paillaco;14107;1;43893;1410743893;0;0;0;0;0;0;0;0;OFF;40
Metropolitana;Paine;13404;1;43893;1340443893;0;0;0;0;0;0;0;0;OFF;51
Los_Lagos;Palena;10404;1;43893;1040443893;0;0;0;0;0;0;0;0;OFF;0
O_Higgins;Palmilla;6306;1;43893;630643893;0;0;0;0;0;0;0;0;OFF;0
Los_Rios;Panguipulli;14108;1;43893;1410843893;0;0;0;0;0;0;0;0;OFF;0
Valparaiso;Panquehue;5704;1;43893;570443893;0;0;0;0;0;0;0;0;OFF;0
Valparaiso;Papudo;5403;1;43893;540343893;0;0;0;0;0;0;0;0;OFF;0
O_Higgins;Paredones;6206;1;43893;620643893;0;0;0;0;0;0;0;0;OFF;0
Maule;Parral;7404;1;43893;740443893;0;0;0;0;0;0;0;0;OFF;42
Metropolitana;Pedro_Aguirre_Cerda;13121;1;43893;1312143893;0;0;0;0;0;0;0;0;OFF;47
Maule;Pelarco;7106;1;43893;710643893;0;0;0;0;0;0;0;0;OFF;29
Maule;Pelluhue;7203;1;43893;720343893;0;0;0;0;0;0;0;0;OFF;43
Nuble;Pemuco;16105;1;43893;1610543893;0;0;0;0;0;0;0;0;OFF;34
Metropolitana;PeNaflor;13605;1;43893;1360543893;0;0;0;0;0;0;0;0;OFF;47
Metropolitana;PeNalolen;13122;1;43893;1312243893;0;0;0;0;0;0;0;0;OFF;47
Maule;Pencahue;7107;1;43893;710743893;0;0;0;0;0;0;0;0;OFF;23
Biobio;Penco;8107;1;43893;810743893;0;0;0;0;0;0;0;0;OFF;39
O_Higgins;Peralillo;6307;1;43893;630743893;0;0;0;0;0;0;0;0;OFF;0
La_Araucania;Perquenco;9113;1;43893;911343893;0;0;0;0;0;0;0;0;OFF;29
