x1,year,value
Calama,NA,3
Maria Elena,NA,0
Mejillones,NA,0
NA,NA,NA
Antofagasta,NA,29
Calama,NA,3
Maria Elena,NA,0
Mejillones,NA,0
NA,NA,NA
Antofagasta,NA,29
Calama,NA,3
Maria Elena,NA,0
Mejillones,NA,0
NA,NA,NA
Antofagasta,NA,29
Calama,NA,3
Maria Elena,NA,0
Mejillones,NA,0
NA,NA,NA
Antofagasta,NA,32
Calama,NA,3
Maria Elena,NA,0
Mejillones,NA,0
NA,NA,NA
Antofagasta,NA,38
Calama,NA,5
Maria Elena,NA,0
Mejillones,NA,0
NA,NA,NA
Antofagasta,NA,40
Calama,NA,5
Maria Elena,NA,0
Mejillones,NA,0
NA,NA,NA
Antofagasta,NA,40
Calama,NA,6
Maria Elena,NA,0
Mejillones,NA,0
NA,NA,NA
Antofagasta,NA,45
Calama,NA,6
Maria Elena,NA,0
Mejillones,NA,0
NA,NA,NA
Antofagasta,NA,47
Calama,NA,7
Maria Elena,NA,0
Mejillones,NA,1
NA,NA,NA
Antofagasta,NA,47
Calama,NA,8
Maria Elena,NA,0
Mejillones,NA,1
NA,NA,NA
Antofagasta,NA,49
Calama,NA,9
Maria Elena,NA,0
Mejillones,NA,1
NA,NA,NA
Antofagasta,NA,59
Calama,NA,12
Maria Elena,NA,0
Mejillones,NA,3
NA,NA,NA
Antofagasta,NA,72
Calama,NA,12
Maria Elena,NA,0
Mejillones,NA,3
NA,NA,NA
Antofagasta,NA,77
Calama,NA,14
Maria Elena,NA,0
Mejillones,NA,3
NA,NA,NA
Antofagasta,NA,89
Calama,NA,19
Maria Elena,NA,0
Mejillones,NA,6
NA,NA,NA
Antofagasta,NA,97
Calama,NA,19
Maria Elena,NA,1
Mejillones,NA,8
NA,NA,NA
Antofagasta,NA,98
Calama,NA,19
Maria Elena,NA,1
Mejillones,NA,9
NA,NA,NA
Antofagasta,NA,110
Calama,NA,20
Maria Elena,NA,2
Mejillones,NA,11
NA,NA,NA
Antofagasta,NA,121
Calama,NA,20
Maria Elena,NA,3
Mejillones,NA,14
NA,NA,NA
Antofagasta,NA,134
Calama,NA,20
Maria Elena,NA,4
Mejillones,NA,15
NA,NA,NA
Antofagasta,NA,144
Calama,NA,23
Maria Elena,NA,4
Mejillones,NA,16
NA,NA,NA
Antofagasta,NA,157
Calama,NA,24
Maria Elena,NA,6
Mejillones,NA,23
NA,NA,NA
Antofagasta,NA,170
Calama,NA,24
Maria Elena,NA,6
Mejillones,NA,23
NA,NA,NA
Antofagasta,NA,190
Calama,NA,27
Maria Elena,NA,6
Mejillones,NA,28
NA,NA,NA
Antofagasta,NA,216
Calama,NA,31
Maria Elena,NA,6
Mejillones,NA,33
NA,NA,NA
Antofagasta,NA,228
Calama,NA,32
Maria Elena,NA,7
Mejillones,NA,33
NA,NA,NA
Antofagasta,NA,246
Calama,NA,33
Maria Elena,NA,7
Mejillones,NA,39
NA,NA,NA
Antofagasta,NA,260
Calama,NA,40
Maria Elena,NA,10
Mejillones,NA,40
NA,NA,NA
Antofagasta,NA,282
Calama,NA,49
Maria Elena,NA,12
Mejillones,NA,59
NA,NA,NA
Antofagasta,NA,288
Calama,NA,53
Maria Elena,NA,13
Mejillones,NA,61
NA,NA,NA
Antofagasta,NA,303
Calama,NA,58
Maria Elena,NA,16
Mejillones,NA,62
NA,NA,NA
Antofagasta,NA,325
Calama,NA,62
Maria Elena,NA,18
Mejillones,NA,67
NA,NA,NA
Antofagasta,NA,345
Calama,NA,67
Maria Elena,NA,19
Mejillones,NA,72
NA,NA,NA
Antofagasta,NA,363
Calama,NA,67
Maria Elena,NA,29
Mejillones,NA,86
NA,NA,NA
